o4 40 65
ou1 40 70
ou3 40 72
ou4 40 73
gua1 92 111 1
gua3 92 111 3
gua4 92 111 4
guang1 92 111 5
guang3 92 111 7
guang4 92 111 8
guai1 92 111 9
guai3 92 111 11
guai4 92 111 12
guan1 92 111 13
guan3 92 111 15
guan4 92 111 16
gui1 92 111 29
gui3 92 111 31
gui4 92 111 32
guo1 92 111 62
guo2 92 111 63
guo3 92 111 64
guo4 92 111 65
gong1 92 111 66
gong3 92 111 68
gong4 92 111 69
gu1 92 111 74
gu3 92 111 76
gu4 92 111 77
gun3 92 111 80
gun4 92 111 81
ha1 93 1
ha2 93 2
ha3 93 3
hang1 93 5
hang2 93 6
hang4 93 8
hai1 93 9
hai2 93 10
hai3 93 11
hai4 93 12
han1 93 13
han2 93 14
han3 93 15
han4 93 16
hao1 93 17
hao2 93 18
hao3 93 19
hao4 93 20
he1 93 21
he2 93 22
he4 93 24
heng1 93 25
heng2 93 26
heng4 93 28
hei1 93 29
hen2 93 34
hen3 93 35
hen4 93 36
hou1 93 70
hou2 93 71
hou3 93 72
hou4 93 73
hua1 93 111 1
hua2 93 111 2
hua4 93 111 4
huang1 93 111 5
huang2 93 111 6
huang3 93 111 7
huang4 93 111 8
huai2 93 111 10
huai4 93 111 12
huan1 93 111 13
huan2 93 111 14
huan3 93 111 15
huan4 93 111 16
hui1 93 111 29
hui2 93 111 30
hui3 93 111 31
hui4 93 111 32
huo1 93 111 62
huo2 93 111 63
huo3 93 111 64
huo4 93 111 65
hong1 93 111 66
hong2 93 111 67
hong3 93 111 68
hong4 93 111 69
hu1 93 111 74
hu2 93 111 75
hu3 93 111 76
hu4 93 111 77
hun1 93 111 78
hun2 93 111 79
hun4 93 111 81
juan1 94 109 13
juan3 94 109 15
juan4 94 109 16
jvan1 94 109 13
jvan3 94 109 15
jvan4 94 109 16
jue1 94 109 45
jue2 94 109 46
jue3 94 109 47
jue4 94 109 48
jve1 94 109 45
jve2 94 109 46
jve3 94 109 47
jve4 94 109 48
jun1 94 109 57
jun4 94 109 60
jvn1 94 109 57
jvn4 94 109 60
ju1 94 109 82
ju2 94 109 83
ju3 94 109 84
ju4 94 109 85
jv1 94 109 82
jv2 94 109 83
jv3 94 109 84
jv4 94 109 85
jia1 94 113 1
jia2 94 113 2
jia3 94 113 3
jia4 94 113 4
jiang1 94 113 5
jiang3 94 113 7
jiang4 94 113 8
jian1 94 113 13
jian3 94 113 15
jian4 94 113 16
jiao1 94 113 17
jiao2 94 113 18
jiao3 94 113 19
jiao4 94 113 20
ji1 94 113 41
ji2 94 113 42
ji3 94 113 43
ji4 94 113 44
jie1 94 113 45
jie2 94 113 46
jie3 94 113 47
jie4 94 113 48
jing1 94 113 49
jing3 94 113 51
jing4 94 113 52
jin1 94 113 57
jin3 94 113 59
jin4 94 113 60
jiong1 94 113 66
jiong3 94 113 68
jiu1 94 113 70
jiu3 94 113 72
jiu4 94 113 73
ka1 95 1
ka3 95 3
kang1 95 5
kang2 95 6
kang4 95 8
kai1 95 9
kai3 95 11
kai4 95 12
kan1 95 13
kan3 95 15
kan4 95 16
kao1 95 17
kao3 95 19
kao4 95 20
ke1 95 21
ke2 95 22
ke3 95 23
ke4 95 24
keng1 95 25
ken3 95 35
ken4 95 36
kou1 95 70
kou3 95 72
kou4 95 73
kua1 95 111 1
kua3 95 111 3
kua4 95 111 4
kuang1 95 111 5
kuang2 95 111 6
kuang4 95 111 8
kuai3 95 111 11
kuai4 95 111 12
kuan1 95 111 13
kuan3 95 111 15
kui1 95 111 29
kui2 95 111 30
kui3 95 111 31
kui4 95 111 32
kuo4 95 111 65
kong1 95 111 66
kong3 95 111 68
kong4 95 111 69
ku1 95 111 74
ku3 95 111 76
ku4 95 111 77
kun1 95 111 78
kun3 95 111 80
kun4 95 111 81
la1 96 1
la2 96 2
la3 96 3
la4 96 4
lang1 96 5
lang2 96 6
lang3 96 7
lang4 96 8
lai2 96 10
lai4 96 12
lan2 96 14
lan3 96 15
lan4 96 16
lao1 96 17
lao2 96 18
lao3 96 19
lao4 96 20
le1 96 21
le3 96 23
le4 96 24
leng2 96 26
leng3 96 27
leng4 96 28
lei1 96 29
lei2 96 30
lei3 96 31
lei4 96 32
lo3 96 64
lou1 96 70
lou2 96 71
lou3 96 72
lou4 96 73
lue4 96 109 48
lve4 96 109 48
lv2 96 109 83
lv3 96 109 84
lv4 96 109 85
luan2 96 111 14
luan3 96 111 15
luan4 96 111 16
luo1 96 111 62
luo2 96 111 63
luo3 96 111 64
luo4 96 111 65
long2 96 111 67
long3 96 111 68
long4 96 111 69
lu1 96 111 74
lu2 96 111 75
lu3 96 111 76
lu4 96 111 77
lun1 96 111 78
lun2 96 111 79
lun4 96 111 81
lia3 96 113 3
liang2 96 113 6
liang3 96 113 7
liang4 96 113 8
lian2 96 113 14
lian3 96 113 15
lian4 96 113 16
liao1 96 113 17
liao2 96 113 18
liao3 96 113 19
liao4 96 113 20
li1 96 113 41
li2 96 113 42
li3 96 113 43
li4 96 113 44
lie1 96 113 45
lie2 96 113 46
lie3 96 113 47
lie4 96 113 48
ling1 96 113 49
ling2 96 113 50
ling3 96 113 51
ling4 96 113 52
lin1 96 113 57
lin2 96 113 58
lin3 96 113 59
lin4 96 113 60
liu1 96 113 70
liu2 96 113 71
liu3 96 113 72
liu4 96 113 73
ma1 97 1
ma2 97 2
ma3 97 3
ma4 97 4
mang2 97 6
mang3 97 7
mai2 97 10
mai3 97 11
mai4 97 12
man1 97 13
man2 97 14
man3 97 15
man4 97 16
mao1 97 17
mao2 97 18
mao3 97 19
mao4 97 20
me3 97 23
meng2 97 26
meng3 97 27
meng4 97 28
mei2 97 30
mei3 97 31
mei4 97 32
men1 97 33
men2 97 34
men3 97 35
men4 97 36
mou1 97 70
mou2 97 71
mou3 97 72
mo1 97 111 62
mo2 97 111 63
mo3 97 111 64
mo4 97 111 65
mu2 97 111 75
mu3 97 111 76
mu4 97 111 77
mian2 97 113 14
mian3 97 113 15
mian4 97 113 16
miao1 97 113 17
miao2 97 113 18
miao3 97 113 19
miao4 97 113 20
mi1 97 113 41
mi2 97 113 42
mi3 97 113 43
mi4 97 113 44
mie1 97 113 45
mie4 97 113 48
ming2 97 113 50
ming3 97 113 51
ming4 97 113 52
min2 97 113 58
min3 97 113 59
miu4 97 113 73
na2 98 2
na3 98 3
na4 98 4
nang1 98 5
nang2 98 6
nang3 98 7
nai3 98 11
nai4 98 12
nan1 98 13
nan2 98 14
nan3 98 15
nan4 98 16
nao1 98 17
nao2 98 18
nao3 98 19
nao4 98 20
ne3 98 23
ne4 98 24
neng2 98 26
nei3 98 31
nei4 98 32
nen4 98 36
nou4 98 73
nue4 98 109 48
nve4 98 109 48
nv3 98 109 84
nv4 98 109 85
nuan3 98 111 15
nuo2 98 111 63
nuo4 98 111 65
nong2 98 111 67
nong4 98 111 69
nu2 98 111 75
nu3 98 111 76
nu4 98 111 77
niang2 98 113 6
niang4 98 113 8
nian1 98 113 13
nian2 98 113 14
nian3 98 113 15
nian4 98 113 16
niao3 98 113 19
niao4 98 113 20
ni1 98 113 41
ni2 98 113 42
ni3 98 113 43
ni4 98 113 44
nie1 98 113 45
nie4 98 113 48
ning2 98 113 50
ning3 98 113 51
ning4 98 113 52
nin2 98 113 58
niu1 98 113 70
niu2 98 113 71
niu3 98 113 72
niu4 98 113 73
pa1 99 1
pa2 99 2
pa4 99 4
pang1 99 5
pang2 99 6
pang3 99 7
pang4 99 8
pai1 99 9
pai2 99 10
pai3 99 11
pai4 99 12
pan1 99 13
pan2 99 14
pan4 99 16
pao1 99 17
pao2 99 18
pao3 99 19
pao4 99 20
peng1 99 25
peng2 99 26
peng3 99 27
peng4 99 28
pei1 99 29
pei2 99 30
pei4 99 32
pen1 99 33
pen2 99 34
pou1 99 70
pou2 99 71
pou3 99 72
po1 99 111 62
po2 99 111 63
po3 99 111 64
po4 99 111 65
pu1 99 111 74
pu2 99 111 75
pu3 99 111 76
pu4 99 111 77
pian1 99 113 13
pian2 99 113 14
pian3 99 113 15
pian4 99 113 16
piao1 99 113 17
piao2 99 113 18
piao3 99 113 19
piao4 99 113 20
pi1 99 113 41
pi2 99 113 42
pi3 99 113 43
pi4 99 113 44
pie1 99 113 45
pie3 99 113 47
ping1 99 113 49
ping2 99 113 50
pin1 99 113 57
pin2 99 113 58
pin3 99 113 59
pin4 99 113 60
quan1 100 109 13
quan2 100 109 14
quan3 100 109 15
quan4 100 109 16
qvan1 100 109 13
qvan2 100 109 14
qvan3 100 109 15
qvan4 100 109 16
que1 100 109 45
que2 100 109 46
que4 100 109 48
qve1 100 109 45
qve2 100 109 46
qve4 100 109 48
qun1 100 109 57
qun2 100 109 58
qvn1 100 109 57
qvn2 100 109 58
qu1 100 109 82
qu2 100 109 83
qu3 100 109 84
qu4 100 109 85
qv1 100 109 82
qv2 100 109 83
qv3 100 109 84
qv4 100 109 85
qia1 100 113 1
qia4 100 113 4
qiang1 100 113 5
qiang2 100 113 6
qiang3 100 113 7
qiang4 100 113 8
qian1 100 113 13
qian2 100 113 14
qian3 100 113 15
qian4 100 113 16
qiao1 100 113 17
qiao2 100 113 18
qiao3 100 113 19
qiao4 100 113 20
qi1 100 113 41
qi2 100 113 42
qi3 100 113 43
qi4 100 113 44
qie1 100 113 45
qie2 100 113 46
qie3 100 113 47
qie4 100 113 48
qing1 100 113 49
qing2 100 113 50
qing3 100 113 51
qing4 100 113 52
